,label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
557,1,0.0,0.0003813882532418001,0.0004729809625162587,0.022988505747126436,0.001935550597656654,0.0017248814144027599,0.016284680337756333,0.014625228519195612,0.03246407663650878,0.0,0.21621621621621623,0.0,0.0025974025974025974,0,37,1125,134,1,2,504,2,1,7,316,165,355,2,48,529,8,285,87,2,645,2,0,201,28,453
1607,0,0.0,0.0003813882532418001,0.00011824524062906468,0.0,0.00015563205823397014,0.0,0.0,0.0,0.0033705871917686712,0.0,0.0,0.0,0.0,75,120,948,189,1,3,281,2,1,68,621,686,745,2,77,1108,8,490,177,2,338,2,10,174,0,149
780,0,0.0,0.0001271294177472667,0.0,0.0,0.0,0.0,0.0,0.0018281535648994515,0.00017739932588256165,0.0,0.0,0.0,0.0,0,102,561,483,1,5,963,11,0,194,797,494,758,2,453,715,2,85,123,1,877,3,0,536,19,356
1085,1,0.0,0.0001271294177472667,0.0,0.0,0.0015809459080096335,0.011427339370418284,0.020506634499396863,0.0,0.008160368990597836,0.0,0.08108108108108109,0.0,0.0,0,30,1196,381,1,3,1062,17,1,702,59,303,680,3,786,674,4,493,105,2,197,2,7,652,24,246
662,0,0.0,0.0002542588354945334,0.01087856213787395,0.06896551724137931,0.8796245130341849,0.0,0.0,0.012797074954296161,0.015965939329430547,0.0,0.0,0.0,0.007792207792207792,0,126,193,555,1,5,110,2,0,111,660,518,354,2,757,195,8,2,22,3,874,2,0,66,27,329
458,0,0.0,0.0002542588354945334,0.0004729809625162587,0.05747126436781609,0.004556670261964215,0.0,0.0,0.009140767824497258,0.01614333865531311,0.0,0.0,0.01020408163265306,0.006493506493506494,15,75,1070,819,1,6,829,2,1,164,159,1078,544,8,340,621,6,327,123,1,1,2,0,162,19,356
12,1,0.0,0.0001271294177472667,0.0,0.0,0.0014430440842580143,0.0,0.010253317249698432,0.0,0.0007095973035302466,0.0,0.10810810810810811,0.0,0.0,7,51,1268,435,1,6,147,5,1,823,419,142,282,2,270,1128,8,487,123,1,1154,2,0,547,19,356
1306,0,0.0,0.0015255530129672005,0.001064207165661582,0.034482758620689655,0.018431563757430693,0.0,0.0,0.010968921389396709,0.003015788540003548,0.0,0.0,0.0,0.007792207792207792,33,103,907,872,9,3,835,2,1,835,84,1084,233,13,792,77,1,242,123,1,584,2,7,531,19,356
672,1,0.0,0.007627765064836002,0.0004729809625162587,0.022988505747126436,0.003022019966214053,0.002371711944803795,0.01749095295536791,0.005484460694698354,0.04257583821181479,0.0,0.10810810810810811,0.02040816326530612,0.0025974025974025974,0,12,405,1001,1,4,361,5,1,474,876,316,697,2,464,542,3,296,10,3,712,2,0,88,27,359
1180,0,0.0,0.0068649885583524015,0.0,0.011494252873563218,0.002851612712578124,0.00603708495040966,0.016887816646562123,0.007312614259597806,0.004080184495298918,0.0,0.02702702702702703,0.0,0.0012987012987012987,0,212,20,819,1,3,1138,5,1,194,751,679,793,13,800,244,8,127,123,1,1094,2,7,162,19,356
704,0,0.0,0.2649377065853038,0.0009459619250325174,0.011494252873563218,0.0,0.0,0.0,0.009140767824497258,0.0010643959552953698,0.0,0.0,0.0,0.0012987012987012987,33,51,102,691,1,6,1059,2,0,194,903,817,566,13,818,532,2,476,123,1,561,0,8,500,19,356
626,1,0.010526315789473684,0.0002542588354945334,0.004256828662646328,0.04597701149425287,1.970026053594559e-06,0.0008624407072013799,0.0006031363088057901,0.0018281535648994515,0.0007095973035302466,0.25,0.02702702702702703,0.0,0.005194805194805195,0,230,1089,612,0,5,228,2,1,194,283,213,505,2,158,863,0,147,88,0,671,2,0,619,0,375
943,0,0.0,0.0001271294177472667,0.0,0.0,0.01717271710918377,0.02544200086244071,0.0012062726176115801,0.018281535648994516,0.02252971438708533,0.0,0.02702702702702703,0.0,0.0,0,74,1070,819,1,6,387,2,1,462,189,1078,173,9,398,621,4,387,123,1,1,5,1,162,19,356
1127,0,0.0,0.0003813882532418001,0.0,0.0,0.0055623685623242365,0.041828374299266925,0.0012062726176115801,0.009140767824497258,0.029448288096505234,0.0,0.02702702702702703,0.0,0.0,0,103,633,872,1,3,101,5,1,662,685,760,405,13,66,216,8,440,123,1,1062,2,7,531,19,356
254,0,0.0,0.0002542588354945334,0.003665602459501005,0.022988505747126436,0.04040129430711721,0.0,0.0,0.016453382084095063,0.003015788540003548,0.0,0.0,0.0,0.01038961038961039,0,51,839,677,1,1,347,1,0,236,670,764,585,13,42,743,1,395,123,1,784,2,7,479,19,356
1566,0,0.0,0.007500635647088735,0.000709471443774388,0.04597701149425287,0.0,0.0,0.0,0.007312614259597806,0.0007095973035302466,0.0,0.0,0.0,0.005194805194805195,7,42,746,418,1,6,1044,2,0,194,171,18,435,13,184,892,2,484,123,1,577,2,8,436,19,356
753,1,0.07368421052631578,0.0003813882532418001,0.0004729809625162587,0.04597701149425287,9.850130267972794e-07,0.001078050884001725,0.00723763570566948,0.04204753199268738,0.01632073798119567,0.5,0.13513513513513514,0.1020408163265306,0.005194805194805195,0,5,839,677,1,4,335,3,1,194,609,764,304,2,651,743,6,473,123,1,784,2,0,479,19,356
1597,0,0.0,0.0002542588354945334,0.017855031334988766,0.10344827586206896,0.002037991952443571,0.047003018542475204,0.0012062726176115801,0.027422303473491772,0.03264147596239134,0.0,0.02702702702702703,0.0,0.08961038961038961,75,91,528,693,11,3,375,2,1,271,902,638,82,2,53,779,0,404,186,3,1031,2,2,158,17,45
1589,1,0.0,0.008390541571319602,0.004256828662646328,0.05747126436781609,0.0062134621730372385,0.0,0.0,0.009140767824497258,0.0007095973035302466,0.0,0.0,0.0,0.006493506493506494,0,77,776,542,1,3,1162,28,1,382,78,372,601,0,592,846,8,263,186,2,916,2,0,648,18,387
572,0,0.0,0.0002542588354945334,0.0004729809625162587,0.022988505747126436,0.5265219682530302,0.0,0.0,0.003656307129798903,0.0003547986517651233,0.0,0.0,0.0,0.0025974025974025974,0,30,55,112,1,3,517,17,0,871,59,1171,680,13,687,988,8,493,64,2,689,2,7,130,24,496
1476,0,0.0,0.06928553267226036,0.0,0.0,0.03731426348113454,0.017464424320827943,0.0,0.007312614259597806,0.012595352137661877,0.0,0.0,0.0,0.0,0,154,1070,819,1,3,377,2,1,853,6,1078,710,13,12,621,7,1,123,1,1,2,5,162,19,356
539,0,0.0,0.0003813882532418001,0.00023649048125812936,0.0,0.00046098609654112674,0.0,0.0,0.007312614259597806,0.0003547986517651233,0.0,0.0,0.0,0.0,26,125,20,819,0,5,308,2,1,704,923,679,798,13,584,244,1,175,123,1,1094,2,7,162,19,356
1573,0,0.0,0.0001271294177472667,0.000709471443774388,0.10344827586206896,0.0030545253960983635,0.0019404915912031048,0.0024125452352231603,0.018281535648994516,0.0028383892141209863,0.0,0.02702702702702703,0.01020408163265306,0.011688311688311689,0,215,907,872,11,3,883,2,1,716,474,1084,665,13,530,77,4,252,123,1,584,2,0,531,19,356
436,0,0.0,0.029875413170607677,0.0,0.0,0.014362474943731132,0.0,0.0,0.0,0.04097924427887174,0.0,0.0,0.0,0.07012987012987013,0,125,1070,819,1,6,603,2,1,701,803,1078,439,2,219,621,1,175,123,1,1,2,0,162,19,356
1053,0,0.0,0.0002542588354945334,0.00011824524062906468,0.011494252873563218,0.2816309845697709,0.0,0.0,0.0018281535648994515,0.009224764945893206,0.0,0.0,0.0,0.0012987012987012987,33,51,974,317,1,6,481,2,0,719,715,23,471,3,776,302,8,460,123,1,589,2,1,73,19,356
427,0,0.010526315789473684,0.0002542588354945334,0.00011824524062906468,0.3103448275862069,7.880104214378235e-06,0.005821474773609315,0.0012062726176115801,0.04570383912248629,0.027496895511797056,0.25,0.05405405405405406,0.0,0.03506493506493506,0,51,907,872,0,5,598,2,1,151,658,1084,102,3,78,77,8,6,123,1,584,2,3,531,19,356
1057,0,0.0,0.0002542588354945334,0.0,0.011494252873563218,0.012448594632664017,0.025226390685640362,0.0024125452352231603,0.003656307129798903,0.019868724498846906,0.0,0.08108108108108109,0.0,0.0012987012987012987,26,96,1070,819,1,5,493,17,1,319,790,1078,488,3,588,621,8,209,123,1,1,2,1,162,19,356
813,0,0.0,0.0003813882532418001,0.00023649048125812936,0.0,0.13083632531040224,0.15545493747304873,0.0,0.0,0.008515167642362959,0.0,0.0,0.0,0.0,34,12,71,599,1,3,785,32,0,762,579,288,21,2,185,1058,8,188,82,3,606,2,1,626,18,51
127,0,0.0,0.0002542588354945334,0.0,0.0,0.0030821057608486874,0.00603708495040966,0.0048250904704463205,0.0,0.01188575483413163,0.0,0.13513513513513514,0.0,0.0,33,150,1019,770,9,3,931,2,1,588,434,274,410,2,261,317,8,251,105,3,380,3,0,446,3,409
969,0,0.09473684210526316,0.0003813882532418001,0.0004729809625162587,0.022988505747126436,0.000384155080450939,0.00043122035360068997,0.00723763570566948,0.02376599634369287,0.007628171012950151,0.5,0.10810810810810811,0.0,0.0025974025974025974,0,37,607,383,1,4,130,2,1,543,304,1087,236,2,48,986,8,285,63,0,490,2,0,174,28,149
1161,0,0.0,0.0001271294177472667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,130,1027,211,1,3,963,5,0,194,797,984,758,3,381,213,2,312,22,0,306,3,0,187,0,316
1491,0,0.0,0.012585812356979404,0.0,0.13793103448275862,0.009961436740000888,0.048727899956877964,0.0024125452352231603,0.0,0.13109810182721304,0.0,0.08108108108108109,0.0,0.07272727272727272,0,244,182,607,1,5,217,2,1,732,628,455,510,13,721,824,8,414,123,1,375,2,0,603,19,356
1595,0,0.0,0.10246631070429696,0.0,0.0,0.1977512152598218,0.0,0.0,0.007312614259597806,0.0,0.0,0.0,0.0,0.0012987012987012987,56,144,622,632,1,5,591,2,0,9,149,607,397,2,245,1084,7,164,123,1,230,2,1,84,19,356
989,0,0.0,0.011695906432748537,0.0,0.0,0.0014331939539900416,0.0,0.0,0.010968921389396709,0.0017739932588256165,0.0,0.0,0.0,0.0025974025974025974,0,108,1070,819,1,3,247,11,1,194,822,1078,160,2,626,621,5,119,123,1,1,2,1,162,19,356
1268,1,0.031578947368421054,0.0001271294177472667,0.04895352962043278,0.06896551724137931,2.2655299616337426e-05,0.0008624407072013799,0.00180940892641737,0.012797074954296161,0.0010643959552953698,0.25,0.02702702702702703,0.0,0.005194805194805195,56,126,328,1015,20,6,1,5,1,757,433,1069,434,3,47,635,0,2,22,0,804,3,1,547,27,329
571,0,0.0,0.0005085176709890668,0.00023649048125812936,0.04597701149425287,0.0017602182788867384,0.004096593359206555,0.0030156815440289505,0.012797074954296161,0.013304949441192123,0.0,0.05405405405405406,0.0,0.005194805194805195,0,84,1169,1021,1,3,871,2,1,248,12,193,316,2,653,1070,8,340,123,1,574,2,0,111,19,356
462,0,0.0,0.04729214340198322,0.00011824524062906468,0.034482758620689655,0.0018587195815664662,0.003234152652005175,0.0006031363088057901,0.025594149908592323,0.002483590562355863,0.0,0.02702702702702703,0.0,0.01818181818181818,0,13,907,872,6,3,645,2,1,194,99,1084,810,13,594,77,7,106,123,1,584,2,5,531,19,356
1382,0,0.021052631578947368,0.002415458937198067,0.0035473572188719402,0.3563218390804598,0.0005742625946228138,0.010564898663216905,0.0012062726176115801,0.03473491773308958,0.022352315061202766,0.25,0.02702702702702703,0.0,0.045454545454545456,0,91,1066,696,11,3,769,2,1,493,84,600,233,3,670,955,8,404,22,0,822,2,2,161,17,357
679,0,0.0,0.0003813882532418001,0.0018919238500650349,0.04597701149425287,0.0,0.0,0.0,0.007312614259597806,0.0007095973035302466,0.0,0.0,0.0,0.005194805194805195,0,8,1238,300,9,3,1059,17,0,194,903,383,566,2,615,325,2,14,22,2,1181,2,8,238,29,471
1598,1,0.0,0.013602847698957537,0.0,0.0,0.018698502287692754,0.050452781371280724,0.0006031363088057901,0.0018281535648994515,0.002483590562355863,0.0,0.02702702702702703,0.0,0.0012987012987012987,33,41,765,960,9,3,874,2,1,891,271,573,808,6,352,521,7,359,123,1,185,3,1,694,19,356
1937,0,0.0,0.0007627765064836002,0.00011824524062906468,0.011494252873563218,0.0028181222696670163,0.0,0.0,0.02010968921389397,0.0015965939329430547,0.0,0.0,0.0,0.0012987012987012987,0,10,554,93,1,0,519,2,1,357,359,406,25,3,65,56,1,324,123,1,655,2,2,471,19,356
1650,0,0.0,0.010933129926264936,0.0004729809625162587,0.05747126436781609,0.00786434400594948,0.048081069426476934,0.0012062726176115801,0.009140767824497258,0.009579563597658328,0.0,0.02702702702702703,0.0,0.006493506493506494,47,215,907,872,1,3,282,5,1,294,465,1084,216,13,536,77,7,89,123,1,584,2,0,531,19,356
997,0,0.0,0.0003813882532418001,0.0,0.0,0.0029245036765611224,0.027166882276843468,0.00180940892641737,0.04936014625228519,0.013659748092957247,0.0,0.02702702702702703,0.0,0.0,52,215,633,872,1,5,271,2,1,648,129,760,283,13,530,216,0,252,123,1,1062,2,1,531,19,356
595,0,0.0,0.0003813882532418001,0.0009459619250325174,0.04597701149425287,0.0014814595923031083,0.0066839154808106946,0.01085645355850422,0.025594149908592323,0.11442256519425226,0.0,0.10810810810810811,0.0,0.005194805194805195,33,131,40,358,1,3,1122,2,1,194,392,599,501,3,603,174,8,392,113,2,756,2,7,264,1,293
1479,0,0.0,0.0008899059242308669,0.0004729809625162587,0.0,0.020161246632486717,0.02652005174644243,0.0012062726176115801,0.012797074954296161,0.004612382472946603,0.0,0.02702702702702703,0.0,0.00909090909090909,0,85,424,668,1,0,68,2,1,602,899,479,251,2,72,891,0,213,123,1,1065,2,0,277,19,356
400,0,0.0,0.0002542588354945334,0.00011824524062906468,0.1724137931034483,0.0003752899632097635,0.06597671410090557,0.0,0.04753199268738574,0.03920525102004612,0.0,0.0,0.0,0.02987012987012987,43,174,1011,1015,1,3,948,17,1,877,117,472,399,3,638,0,8,480,123,1,146,2,0,547,19,356
1842,0,0.0,0.0006356470887363335,0.00011824524062906468,0.034482758620689655,0.010602680220445916,0.0,0.0,0.06764168190127971,0.0005321979776476849,0.0,0.0,0.0,0.05454545454545454,0,215,907,872,1,3,1010,8,1,814,480,1084,285,3,323,77,8,89,123,1,584,2,0,531,19,356
1330,0,0.010526315789473684,0.0007627765064836002,0.0,0.1954022988505747,9.751628965293066e-05,0.00517464424320828,0.0006031363088057901,0.007312614259597806,0.004257583821181479,0.25,0.02702702702702703,0.0,0.03116883116883117,0,185,1083,601,0,6,1022,17,1,194,830,30,245,2,649,37,1,185,123,1,82,2,0,332,19,356
893,0,0.0,0.0002542588354945334,0.00011824524062906468,0.0,0.018347837650152923,0.0968089693833549,0.00542822677925211,0.0,0.06368635799183964,0.0,0.10810810810810811,0.0,0.0,56,227,839,677,1,3,546,17,1,529,749,764,324,2,685,743,8,418,123,1,784,3,1,479,19,356
1637,0,0.0,0.004068141367912535,0.0005912262031453234,0.011494252873563218,0.06711189255477903,0.0,0.0,0.0018281535648994515,0.00017739932588256165,0.0,0.0,0.0,0.0012987012987012987,0,52,722,506,9,4,620,21,0,276,614,1154,517,2,795,39,8,62,22,2,673,2,0,536,0,436
1850,0,0.010526315789473684,0.0002542588354945334,0.00011824524062906468,0.0,0.0010204734957619814,0.0071151358344113845,0.00180940892641737,0.062157221206581355,0.018626929217668974,0.25,0.05405405405405406,0.0,0.0,26,224,273,911,1,4,1100,5,1,36,53,702,726,2,628,237,4,377,123,1,626,2,0,697,19,356
850,0,0.0,0.0005085176709890668,0.0,0.3103448275862069,0.005667764956191546,0.0,0.0,0.07678244972577697,0.005499379102359411,0.0,0.0,0.0,0.04025974025974026,0,222,839,677,1,3,608,5,1,194,855,764,277,13,484,743,5,270,123,1,784,2,8,479,19,356
1245,1,0.0,0.06254767353165522,0.004729809625162587,0.011494252873563218,0.003362834473485912,0.03708495040965934,0.07840772014475271,0.021937842778793418,0.03512506652474721,0.0,0.10810810810810811,0.0,0.015584415584415584,0,37,878,240,1,4,826,0,1,274,713,1067,581,5,805,1027,8,285,89,2,999,2,3,711,28,108
1288,1,0.021052631578947368,0.0006356470887363335,0.001418942887548776,0.3793103448275862,1.3790182375161912e-05,0.003234152652005175,0.0012062726176115801,0.05301645338208409,0.006031577080007096,0.25,0.02702702702702703,0.01020408163265306,0.012987012987012988,0,0,1243,681,1,4,979,17,1,238,160,620,738,3,622,1019,4,51,22,0,678,2,0,578,0,190
1342,1,0.0,0.0001271294177472667,0.00023649048125812936,0.0,0.005029476514826909,0.001078050884001725,0.0006031363088057901,0.0,0.0008869966294128083,0.0,0.02702702702702703,0.0,0.0,0,120,1211,121,1,4,197,2,1,772,847,748,417,2,77,155,0,490,22,3,960,2,0,319,8,131
1748,0,0.0,0.004068141367912535,0.00011824524062906468,0.011494252873563218,0.014166457351398473,0.00646830530401035,0.0012062726176115801,0.003656307129798903,0.0026609898882384245,0.0,0.02702702702702703,0.0,0.0012987012987012987,33,11,633,872,1,5,816,11,1,186,61,760,186,13,80,216,3,309,22,3,1062,2,1,531,3,538
921,0,0.0,0.0005085176709890668,0.002246659571952229,0.011494252873563218,0.00019503257930586132,0.015308322552824494,0.0024125452352231603,0.012797074954296161,0.0008869966294128083,0.0,0.02702702702702703,0.0,0.0012987012987012987,48,77,1091,958,9,0,282,17,1,233,465,962,216,13,443,467,8,263,55,3,3,2,0,117,0,147
683,0,0.0,0.0002542588354945334,0.00011824524062906468,0.022988505747126436,0.0013031722344528007,0.02565761103924105,0.01447527141133896,0.02376599634369287,0.03122228135533085,0.0,0.13513513513513514,0.01020408163265306,0.0025974025974025974,33,51,165,746,0,3,538,2,1,194,473,98,595,3,287,1046,4,199,123,1,423,3,1,91,19,356
1527,1,0.0,0.03318077803203661,0.0027196405344684874,0.06896551724137931,0.001663687002260605,0.00991806813281587,0.048854041013269,0.051188299817184646,0.14493524924605286,0.0,0.6486486486486487,0.0,0.007792207792207792,27,12,78,86,1,3,656,2,1,845,22,779,193,13,273,755,8,188,171,3,1195,2,7,334,27,279
266,1,0.021052631578947368,0.002415458937198067,0.0,0.0,2.3640312643134706e-05,0.0,0.0012062726176115801,0.0,0.0,0.25,0.02702702702702703,0.0,0.0,0,220,48,729,1,5,842,17,1,56,870,718,152,13,470,145,0,509,123,1,1176,2,1,414,19,356
706,0,0.0,0.0003813882532418001,0.002128414331323164,0.14942528735632182,0.004262151366951828,0.002802932298404485,0.0006031363088057901,0.02376599634369287,0.0023061912364733014,0.0,0.02702702702702703,0.0,0.016883116883116882,26,228,480,256,11,0,1106,11,1,473,74,1009,134,2,591,395,7,43,22,2,1078,2,10,68,27,225
203,0,0.0,0.009026188660055936,0.00011824524062906468,0.022988505747126436,0.03771122373093384,0.0,0.0,0.003656307129798903,0.0033705871917686712,0.0,0.0,0.0,0.0025974025974025974,78,98,251,581,1,3,267,2,1,194,327,945,600,3,51,181,0,223,123,1,721,2,2,411,19,356
681,0,0.0,0.03229087210780574,0.0004729809625162587,0.0,0.001304157247479598,0.0,0.0,0.04936014625228519,0.0021287919105907396,0.0,0.0,0.0,0.011688311688311689,0,74,1070,819,1,0,657,17,1,130,835,1078,15,9,398,621,8,387,123,1,1,2,1,162,19,356
1978,0,0.0,0.0005085176709890668,0.019628709944424737,0.3333333333333333,0.011270519052614471,0.0,0.0,0.062157221206581355,0.005144580450594288,0.0,0.0,0.0,0.03766233766233766,0,51,1131,315,6,3,908,2,1,213,320,555,429,2,174,387,8,466,123,1,863,2,0,5,19,356
1874,0,0.0,0.0001271294177472667,0.0,0.04597701149425287,0.0028279723999349894,0.0071151358344113845,0.030759951749095293,0.010968921389396709,0.10182721305659038,0.0,0.10810810810810811,0.0,0.006493506493506494,33,62,822,82,1,6,926,2,1,898,634,535,457,2,26,425,3,239,123,1,383,2,10,668,19,356
925,0,0.0,0.027332824815662342,0.00023649048125812936,0.022988505747126436,0.0,0.0,0.0,0.003656307129798903,0.0003547986517651233,0.0,0.0,0.0,0.0025974025974025974,0,51,1163,435,1,5,633,2,0,194,872,587,345,2,234,1128,2,422,123,1,1154,3,0,547,19,356
1072,0,0.0,0.0015255530129672005,0.014544164597374955,0.08045977011494253,0.0016351216244834838,0.0450625269512721,0.0030156815440289505,0.04570383912248629,0.024303707645910947,0.0,0.02702702702702703,0.0,0.023376623376623377,33,31,905,822,1,3,1012,1,1,5,822,314,160,2,705,1155,8,91,22,3,364,3,1,150,27,435
1701,1,0.06315789473684211,0.004322400203407068,0.002128414331323164,0.08045977011494253,4.925065133986397e-06,0.0008624407072013799,0.01447527141133896,0.056672760511883,0.13446868901898174,0.25,0.1891891891891892,0.0,0.005194805194805195,43,52,75,119,1,3,936,2,1,789,97,412,137,3,737,1150,8,181,22,0,215,5,1,681,0,323
723,0,0.0,0.0003813882532418001,0.00011824524062906468,0.011494252873563218,0.006054875075722876,0.0,0.0,0.018281535648994516,0.001951392584708178,0.0,0.0,0.0,0.0012987012987012987,0,125,20,819,11,3,1011,2,1,411,367,679,391,2,219,244,8,175,123,1,1094,2,3,162,19,356
1582,0,0.0,0.0002542588354945334,0.0027196405344684874,0.10344827586206896,0.011678314445708545,0.2386804657179819,0.0,0.027422303473491772,0.06794394181302112,0.0,0.0,0.0,0.016883116883116882,0,218,296,414,1,4,695,2,1,207,876,977,697,2,781,92,8,96,22,0,698,2,0,588,27,296
1770,0,0.021052631578947368,0.0002542588354945334,0.000354735721887194,0.011494252873563218,0.0005772176337032058,0.004096593359206555,0.0024125452352231603,0.02010968921389397,0.007095973035302466,0.25,0.05405405405405406,0.0,0.01948051948051948,0,51,301,153,1,3,392,17,1,143,692,1172,756,13,342,562,7,211,123,1,1107,2,0,272,19,356
206,0,0.0,0.009916094584286803,0.000354735721887194,0.0,0.004953630511763518,0.0,0.0,0.029250457038391225,0.0,0.0,0.0,0.0,0.0,0,66,721,176,7,6,395,11,1,10,822,489,160,13,730,817,7,88,123,1,575,2,1,547,19,356
1287,0,0.0,0.0013984235952199337,0.005439281068936975,0.25287356321839083,0.0017602182788867384,0.05109961190168176,0.00361881785283474,0.05301645338208409,0.03015788540003548,0.0,0.05405405405405406,0.0,0.06363636363636363,0,77,715,978,1,3,85,2,1,226,828,460,745,2,314,962,8,400,85,2,1080,2,1,436,0,172
913,1,0.0,0.0003813882532418001,0.0015371881281778408,0.011494252873563218,0.0015848859601168225,0.014877102199223804,0.0,0.0018281535648994515,0.01933652652119922,0.0,0.0,0.0,0.0012987012987012987,0,55,96,474,11,6,73,34,1,842,616,1044,648,3,759,343,8,379,22,3,555,5,2,293,23,148
1414,0,0.0,0.0001271294177472667,0.005912262031453234,0.011494252873563218,0.024442113246947693,0.062095730918499355,0.0006031363088057901,0.0018281535648994515,0.007982969664715274,0.0,0.02702702702702703,0.0,0.0012987012987012987,0,12,648,169,1,5,1035,17,1,194,735,49,522,2,185,209,7,188,22,2,44,2,0,273,20,229
1108,0,0.0,0.002415458937198067,0.0015371881281778408,0.05747126436781609,0.011500027087858238,0.0,0.0,0.009140767824497258,0.004612382472946603,0.0,0.0,0.0,0.006493506493506494,33,74,1070,819,1,6,382,5,1,194,876,1078,697,9,398,621,5,387,123,1,1,5,3,162,19,356
455,1,0.0,0.01500127129417747,0.0,0.0,0.006501085976862045,0.03773178094006037,0.013268998793727381,0.038391224862888484,0.03796345573886819,0.0,0.1891891891891892,0.0,0.0,0,104,566,592,1,6,503,2,1,318,312,762,553,2,392,764,8,399,22,3,607,2,0,469,7,95
1524,1,0.0,0.0001271294177472667,0.0,0.0,0.0031884871677427934,0.02501078050884002,0.01085645355850422,0.031078610603290677,0.0633315593400745,0.0,0.13513513513513514,0.0,0.0,33,39,557,87,7,5,988,5,1,46,234,655,353,2,203,142,4,210,19,2,460,2,2,196,3,448
281,1,0.0,0.0001271294177472667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,51,1176,695,11,5,633,17,0,194,872,266,345,13,782,540,2,506,123,1,735,2,0,119,19,356
416,0,0.0,0.0019069412662090005,0.0017736786094359701,0.05747126436781609,0.010314071403594314,0.0,0.0,0.009140767824497258,0.00975696292354089,0.0,0.0,0.0,0.006493506493506494,40,74,1070,819,1,3,527,2,1,194,19,1078,419,9,398,621,1,387,123,1,1,2,0,162,19,356
1717,0,0.0,0.006483600305110602,0.0,0.022988505747126436,0.004539925040508661,0.048081069426476934,0.0006031363088057901,0.03656307129798903,0.03157708000709597,0.0,0.02702702702702703,0.0,0.01818181818181818,43,13,907,872,1,3,1153,5,1,806,368,1084,249,13,411,77,8,503,123,1,584,2,0,531,19,356
437,0,0.0,0.0003813882532418001,0.000709471443774388,0.12643678160919541,0.003021034953187256,0.007546356188012074,0.02895054282267792,0.021937842778793418,0.007095973035302466,0.0,0.10810810810810811,0.0,0.014285714285714285,43,32,1070,819,1,3,349,2,1,428,707,1078,412,2,15,621,8,180,123,1,1,2,0,162,19,356
202,0,0.0,0.01627256547165014,0.0,0.022988505747126436,0.06843969011490177,0.0,0.0,0.007312614259597806,0.0012417952811779316,0.0,0.0,0.0,0.0025974025974025974,0,40,1010,389,11,0,227,2,0,194,586,549,110,12,716,136,7,134,123,1,527,2,9,77,19,356
1775,0,0.0,0.0003813882532418001,0.0004729809625162587,0.022988505747126436,0.03458774742295967,0.01034928848641656,0.0,0.003656307129798903,0.009224764945893206,0.0,0.0,0.0,0.0025974025974025974,33,37,258,845,1,2,142,2,1,218,49,708,718,3,169,756,7,285,104,2,892,2,0,27,28,488
1444,0,0.021052631578947368,0.0005085176709890668,0.000709471443774388,0.011494252873563218,1.1820156321567353e-05,0.00021561017680034498,0.0012062726176115801,0.0018281535648994515,0.00017739932588256165,0.25,0.02702702702702703,0.0,0.0012987012987012987,0,12,882,555,1,4,944,2,1,185,270,1052,576,3,714,912,0,208,163,2,471,2,1,66,27,405
876,1,0.06315789473684211,0.0035596236969234673,0.0,0.9080459770114943,4.334057317908029e-05,0.013583441138421734,0.006031363088057901,0.05850091407678245,0.06031577080007096,0.25,0.05405405405405406,0.0,0.08181818181818182,0,125,20,819,1,3,987,17,1,787,168,679,269,2,219,244,8,175,123,1,1094,2,0,162,19,356
1384,0,0.0,0.026697177726926008,0.0,0.08045977011494253,0.0158577247184094,0.02501078050884002,0.00361881785283474,0.010968921389396709,0.006563775057654781,0.0,0.05405405405405406,0.0,0.00909090909090909,0,35,1087,1015,11,4,635,11,1,194,589,1007,722,2,349,1033,4,275,123,1,451,2,0,547,19,356
1285,0,0.0,0.0001271294177472667,0.000709471443774388,0.011494252873563218,0.031293863861349566,0.05498059508408797,0.0,0.0018281535648994515,0.005854177754124534,0.0,0.0,0.0,0.0012987012987012987,0,63,243,261,1,4,278,34,1,555,640,149,460,2,739,409,0,347,22,0,922,2,1,66,27,90
89,0,0.0,0.0003813882532418001,0.00886839304717985,0.25287356321839083,0.005823397014425516,0.03902544200086244,0.0012062726176115801,0.04021937842778794,0.012063154160014192,0.0,0.02702702702702703,0.0,0.02857142857142857,27,12,882,555,11,4,614,17,1,360,531,1052,44,9,684,912,0,208,163,0,471,2,0,66,27,405
1666,1,0.021052631578947368,0.0020340706839562673,0.00023649048125812936,0.022988505747126436,0.0,0.0,0.0012062726176115801,0.0018281535648994515,0.0003547986517651233,0.25,0.02702702702702703,0.0,0.0,0,194,37,802,6,5,1090,2,1,194,547,190,568,13,471,961,0,291,22,3,358,2,1,708,28,289
1709,0,0.021052631578947368,0.004195270785659801,0.003665602459501005,0.06896551724137931,1.3790182375161912e-05,0.0008624407072013799,0.0012062726176115801,0.010968921389396709,0.0010643959552953698,0.25,0.02702702702702703,0.0,0.005194805194805195,0,193,545,807,11,6,644,2,1,665,176,177,759,3,142,634,0,532,22,0,0,3,7,162,27,378
